date,magasin,categorie,produit,quantite,prix_unitaire,cout_unitaire,paiement,ca_ttc,marge
2025-01-01,Toulouse,Cadeaux,Coffret thé,3,13.43,5.41,Sans contact,40.29,24.06
2025-01-01,Toulouse,Décoration,Miroir rond,1,31.15,14.56,Espèces,31.15,16.59
2025-01-01,Toulouse,Cadeaux,Carnet cuir,1,17.5,6.66,Sans contact,17.5,10.84
2025-01-01,Toulouse,Textile,Rideau lin,1,44.47,22.65,Sans contact,44.47,21.82
2025-01-01,Toulouse,Cadeaux,Mini plante,1,22.68,9.26,Espèces,22.68,13.42
2025-01-01,Toulouse,Cadeaux,Coffret thé,1,19.19,7.36,CB,19.19,11.83
2025-01-01,Toulouse,Décoration,Cadre photo,1,31.23,14.51,CB,31.23,16.72
2025-01-01,Toulouse,Cadeaux,Coffret thé,1,16.34,6.32,Sans contact,16.34,10.02
2025-01-01,Toulouse,Cuisine,Théière fonte,1,31.93,17.17,CB,31.93,14.76
2025-01-01,Toulouse,Cadeaux,Savon artisanal,1,23.05,9.07,CB,23.05,13.98
2025-01-01,Toulouse,Textile,Plaid laine,1,58.38,29.38,Espèces,58.38,29.0
2025-01-01,Toulouse,Cadeaux,Coffret thé,1,21.31,8.83,CB,21.31,12.48
2025-01-01,Toulouse,Décoration,Bougie parfumée,1,42.48,17.9,CB,42.48,24.58
2025-01-01,Toulouse,Décoration,Cadre photo,1,40.09,18.66,Espèces,40.09,21.43
2025-01-01,Toulouse,Cadeaux,Bougie voyage,2,19.55,7.56,CB,39.1,23.98
2025-01-01,Toulouse,Décoration,Miroir rond,1,28.88,12.69,CB,28.88,16.19
2025-01-01,Toulouse,Décoration,Cadre photo,1,41.21,18.15,Espèces,41.21,23.06
2025-01-01,Toulouse,Cuisine,Bol émaillé,1,20.41,10.08,Sans contact,20.41,10.33
2025-01-01,Toulouse,Textile,Rideau lin,2,56.76,28.25,CB,113.52,57.02
2025-01-01,Toulouse,Décoration,Bougie parfumée,2,30.51,14.31,CB,61.02,32.4
2025-01-01,Toulouse,Cuisine,Théière fonte,2,24.65,12.86,Espèces,49.3,23.58
2025-01-01,Toulouse,Cuisine,Set torchons,1,27.71,14.24,CB,27.71,13.47
2025-01-01,Toulouse,Cuisine,Bol émaillé,1,34.35,18.18,CB,34.35,16.17
2025-01-01,Toulouse,Textile,Plaid laine,2,40.7,19.16,CB,81.4,43.08
2025-01-01,Toulouse,Textile,Nappe coton,1,33.82,16.49,CB,33.82,17.33
2025-01-01,Toulouse,Cuisine,Mug grès,2,42.08,20.8,CB,84.16,42.56
2025-01-01,Auch,Textile,Nappe coton,1,32.85,15.99,Espèces,32.85,16.86
2025-01-01,Auch,Cadeaux,Coffret thé,2,19.07,7.18,CB,38.14,23.78
2025-01-01,Auch,Textile,Rideau lin,2,30.68,14.06,Sans contact,61.36,33.24
2025-01-01,Auch,Décoration,Bougie parfumée,1,27.99,12.18,CB,27.99,15.81
2025-01-01,Auch,Décoration,Bougie parfumée,2,22.18,10.77,Sans contact,44.36,22.82
2025-01-01,Auch,Papeterie,Carte postale,1,8.52,4.31,Espèces,8.52,4.21
2025-01-01,Auch,Cuisine,Théière fonte,1,27.57,13.46,CB,27.57,14.11
2025-01-01,Montauban,Textile,Plaid laine,1,32.03,15.87,Sans contact,32.03,16.16
2025-01-01,Montauban,Cuisine,Set torchons,1,25.46,13.3,Espèces,25.46,12.16
2025-01-01,Montauban,Décoration,Vase céramique,1,31.72,13.4,CB,31.72,18.32
2025-01-01,Montauban,Cadeaux,Coffret thé,1,13.7,5.35,CB,13.7,8.35
2025-01-01,Montauban,Cuisine,Bol émaillé,2,26.32,13.58,Sans contact,52.64,25.48
2025-01-01,Montauban,Décoration,Cadre photo,1,33.02,14.93,CB,33.02,18.09
2025-01-01,Montauban,Papeterie,Carte postale,2,12.04,5.93,CB,24.08,12.22
2025-01-01,Montauban,Cadeaux,Bougie voyage,2,21.91,8.48,CB,43.82,26.86
2025-01-02,Toulouse,Cadeaux,Coffret thé,1,28.94,11.07,Espèces,28.94,17.87
2025-01-02,Toulouse,Cadeaux,Savon artisanal,1,28.63,10.82,Sans contact,28.63,17.81
2025-01-02,Toulouse,Décoration,Cadre photo,1,29.04,13.29,Sans contact,29.04,15.75
2025-01-02,Toulouse,Cuisine,Théière fonte,1,31.46,16.05,CB,31.46,15.41
2025-01-02,Toulouse,Décoration,Vase céramique,1,35.22,16.03,CB,35.22,19.19
2025-01-02,Toulouse,Textile,Rideau lin,1,47.29,22.76,Sans contact,47.29,24.53
2025-01-02,Toulouse,Cadeaux,Mini plante,1,21.88,9.98,CB,21.88,11.9
2025-01-02,Toulouse,Textile,Serviettes (x4),1,39.68,19.3,CB,39.68,20.38
2025-01-02,Toulouse,Cadeaux,Carnet cuir,2,21.68,7.92,Sans contact,43.36,27.52
2025-01-02,Toulouse,Papeterie,Stylo plume,2,9.47,4.75,Sans contact,18.94,9.44
2025-01-02,Toulouse,Décoration,Coussin lin,1,35.13,16.97,CB,35.13,18.16
2025-01-02,Toulouse,Cuisine,Bol émaillé,1,29.07,13.79,CB,29.07,15.28
2025-01-02,Toulouse,Décoration,Miroir rond,1,26.64,11.79,CB,26.64,14.85
2025-01-02,Toulouse,Textile,Nappe coton,2,56.76,29.6,CB,113.52,54.32
2025-01-02,Toulouse,Textile,Nappe coton,1,60.44,30.21,CB,60.44,30.23
2025-01-02,Toulouse,Textile,Plaid laine,1,54.19,27.03,Sans contact,54.19,27.16
